DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,avg_arrival_time,std_arrival_time,avg_work_hours,absence_rate,Attrition
6,2,1,131160,1.0,11,0,1.0,4.5,1,0.0,0.0,3.0,4.0,2.0,3,3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,9.993031609195402,0.258455945313723,7.373650622605364,0.11111111111111116,0
10,1,1,41890,0.0,23,1,6.0,3.0,5,1.0,4.0,3.0,2.0,4.0,2,4,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9.98072033898305,0.2930946787712894,7.718968926553672,0.09578544061302685,1
17,4,4,165835,1.0,15,3,5.0,2.0,5,0.0,3.0,2.0,2.0,1.0,3,3,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,10.016597796143252,0.27251326704281426,7.013240358126722,0.07279693486590033,0
2,5,3,83210,3.0,11,3,13.0,4.5,8,7.0,5.0,4.0,4.0,3.0,2,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,9.973829787234042,0.28274950635579627,7.193678486997636,0.09961685823754785,0
10,1,1,23420,4.0,12,2,9.0,2.0,6,0.0,4.0,4.0,1.0,3.0,3,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,9.990068027210883,0.2708622219110946,8.006174603174603,0.06130268199233713,0
8,3,4,40710,3.0,13,0,28.0,4.5,7,7.0,7.0,3.0,2.0,2.0,3,3,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,9.980450070323489,0.27780818208297176,10.796095874355368,0.09195402298850575,0
11,2,2,58130,2.0,20,1,5.0,2.0,0,0.0,0.0,1.0,3.0,1.0,3,4,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,9.956249999999999,0.28512162708542865,6.923570402298851,0.11111111111111116,1
18,3,2,31430,2.0,22,3,10.0,2.0,0,0.0,0.0,1.0,2.0,3.0,3,4,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,9.994101508916323,0.27434612928277824,6.725620713305898,0.06896551724137934,0
1,3,3,20440,0.0,21,0,10.0,2.0,9,7.0,8.0,2.0,4.0,3.0,3,4,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,10.013840579710145,0.26352863189948156,7.236498792270532,0.11877394636015326,0
7,4,4,134640,1.0,13,1,6.0,2.0,6,1.0,5.0,2.0,1.0,3.0,3,3,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,9.956837606837608,0.27367101028437557,7.080087844254511,0.10344827586206895,0
17,2,2,79910,0.0,13,2,21.0,2.0,18,4.0,10.0,3.0,4.0,3.0,2,3,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,9.985961272475796,0.2866109609529514,8.403485477178423,0.07662835249042144,0
28,1,1,33770,0.0,12,2,16.0,2.0,15,7.5,11.0,3.0,4.0,3.0,3,3,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,9.989557399723374,0.2744025286567353,7.06895458736745,0.07662835249042144,0
14,4,1,55380,0.0,17,0,28.5,2.0,18,4.0,13.0,4.0,1.0,3.0,3,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,10.010625909752548,0.2607506151897668,9.301409509946627,0.12260536398467436,0
1,1,1,57620,1.0,11,2,10.0,4.0,10,7.5,9.0,1.0,2.0,2.0,2,3,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,9.996099290780142,0.28415359658552003,9.399931442080378,0.09961685823754785,1
